driver,car_number,team,manufacturer,crew_chief,skill_rating
Chase Elliot,9,Hendrick,Chevorlet,Alan Gustafson,9
Kyle Larson,5,Hendrick,Chevorlet,Cliff Daniels,10
William Byron,24,Hendrick,Chevorlet,Rudy Fugle,8
Kyle Busch,8,RCR,Chevorlet,Randall Burnett,8
Corey LaJoie,7,Spire,Chevorlet,Ryan Sparks,6
Ross Chastain,1,Trackhouse,Chevorlet,Phil Surgen,8
Joey Logano,22,Team Penske,Ford,Paul Wolfe,9
Denny Hamlin,11,Joe Gibbs,Toyota,Chris Gabehart,9
Bubba Wallace,23,23XI,Toyota,Bootie Barker,8
Jimmie Johnson,48,Hall of Fame,Chevorlet,Chad Knaus,12
SVG,91,Trackhouse,Chevorlet,Crew Chief,7
Daniel Ricciardo,91,Trackhouse,Chevorlet,Crew Chief,7